,date,state,place_type,confirmed,Estado,Genomas sequenciados,confirmed_divided_by_100k,Genomas/100 mil casos
0,2021-09-24,AP,state,122759,Amapá,352,1.22759,286.7
1,2021-09-24,RS,state,1432114,Rio Grande do Sul,2075,14.32114,144.9
2,2021-09-24,SC,state,1186988,Santa Catarina,1071,11.86988,90.2
3,2021-09-24,RO,state,265272,Rondônia,38,2.65272,14.3
4,2021-09-24,RR,state,126167,Roraima,40,1.26167,31.7
5,2021-09-24,PR,state,1500292,Paraná,1923,15.00292,128.2
6,2021-09-24,SE,state,277964,Sergipe,411,2.77964,147.9
7,2021-09-24,AC,state,87937,Acre,133,0.87937,151.2
8,2021-09-24,AL,state,237888,Alagoas,569,2.37888,239.2
9,2021-09-24,DF,state,490122,Distrito Federal,316,4.90122,64.5
10,2021-09-24,AM,state,426230,Amazonas,2239,4.2623,525.3
11,2021-09-24,GO,state,856551,Goiás,2616,8.56551,305.4
12,2021-09-24,ES,state,580857,Espírito Santo,610,5.80857,105.0
13,2021-09-24,CE,state,924089,Ceará,1273,9.24089,137.8
14,2021-09-24,PB,state,440856,Paraíba,603,4.40856,136.8
15,2021-09-24,MG,state,2128581,Minas Gerais,820,21.28581,38.5
16,2021-09-24,RN,state,368192,Rio Grande do Norte,281,3.68192,76.3
17,2021-09-24,PI,state,318919,Piauí,122,3.18919,38.3
18,2021-09-24,RJ,state,1278031,Rio de Janeiro,6662,12.78031,521.3
19,2021-09-24,PE,state,618327,Pernambuco,1905,6.18327,308.1
20,2021-09-24,PA,state,589962,Pará,532,5.89962,90.2
21,2021-09-24,MA,state,355049,Maranhão,360,3.55049,101.4
22,2021-09-24,MT,state,534111,Mato Grosso,243,5.34111,45.5
23,2021-09-24,MS,state,372324,Mato Grosso do Sul,363,3.72324,97.5
24,2021-09-24,BA,state,1231408,Bahia,1033,12.31408,83.9
25,2021-09-24,TO,state,223489,Tocantins,199,2.23489,89.0
26,2021-09-24,SP,state,4358788,São Paulo,16347,43.58788,375.0
