Date,Period,Region,State,Laboratory,Relevant lineages,Quantity
2020-02-01,Feb 2020,Northeast,Bahia,Others,B.1.1,1
2020-02-01,Feb 2020,Southeast,Espírito Santo,FIOCRUZ,Others,1
2020-02-01,Feb 2020,Southeast,São Paulo,Others,B.1.1.28,1
2020-02-01,Feb 2020,Southeast,São Paulo,Others,Others,4
2020-02-01,Feb 2020,South,Paraná,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Central-west,Distrito Federal,FIOCRUZ,B.1.1.33,5
2020-03-01,Mar 2020,Central-west,Distrito Federal,Others,B.1.1,1
2020-03-01,Mar 2020,Central-west,Distrito Federal,Others,Others,1
2020-03-01,Mar 2020,Central-west,Goiás,Others,B.1.1,1
2020-03-01,Mar 2020,Central-west,Goiás,Others,Others,2
2020-03-01,Mar 2020,Central-west,Mato Grosso,Others,B.1.1.33,1
2020-03-01,Mar 2020,Central-west,Mato Grosso,Others,Others,2
2020-03-01,Mar 2020,Central-west,Mato Grosso do Sul,Others,B.1.1,1
2020-03-01,Mar 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.28,1
2020-03-01,Mar 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.33,2
2020-03-01,Mar 2020,Central-west,Mato Grosso do Sul,Others,Others,1
2020-03-01,Mar 2020,Northeast,Alagoas,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Northeast,Bahia,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Northeast,Bahia,Others,B.1.1,1
2020-03-01,Mar 2020,Northeast,Bahia,Others,B.1.1.28,4
2020-03-01,Mar 2020,Northeast,Bahia,Others,B.1.1.33,9
2020-03-01,Mar 2020,Northeast,Bahia,Others,Others,9
2020-03-01,Mar 2020,Northeast,Ceará,Others,B.1.1.33,1
2020-03-01,Mar 2020,Northeast,Ceará,Others,Others,26
2020-03-01,Mar 2020,Northeast,Maranhão,Others,B.1.1.33,4
2020-03-01,Mar 2020,Northeast,Paraíba,Others,Others,1
2020-03-01,Mar 2020,Northeast,Piauí,Others,B.1.1.33,1
2020-03-01,Mar 2020,Northeast,Rio Grande do Norte,Others,B.1.1.33,1
2020-03-01,Mar 2020,Northeast,Sergipe,FIOCRUZ,B.1.1,1
2020-03-01,Mar 2020,Northeast,Sergipe,FIOCRUZ,B.1.1.28,1
2020-03-01,Mar 2020,Northeast,Sergipe,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,Northeast,Sergipe,FIOCRUZ,Others,2
2020-03-01,Mar 2020,Northeast,Sergipe,Others,Others,1
2020-03-01,Mar 2020,North,Acre,FIOCRUZ,B.1.1.33,2
2020-03-01,Mar 2020,North,Acre,Others,B.1.1.33,3
2020-03-01,Mar 2020,North,Acre,Others,Others,3
2020-03-01,Mar 2020,North,Amapá,Others,B.1.1.33,1
2020-03-01,Mar 2020,North,Amazonas,FIOCRUZ,Others,3
2020-03-01,Mar 2020,North,Amazonas,Others,Others,1
2020-03-01,Mar 2020,North,Pará,Others,B.1.1,1
2020-03-01,Mar 2020,North,Pará,Others,B.1.1.28,2
2020-03-01,Mar 2020,North,Pará,Others,B.1.1.33,2
2020-03-01,Mar 2020,North,Pará,Others,Others,3
2020-03-01,Mar 2020,Southeast,Espírito Santo,Others,B.1.1.33,1
2020-03-01,Mar 2020,Southeast,Minas Gerais,Others,B.1.1,14
2020-03-01,Mar 2020,Southeast,Minas Gerais,Others,B.1.1.28,3
2020-03-01,Mar 2020,Southeast,Minas Gerais,Others,B.1.1.33,9
2020-03-01,Mar 2020,Southeast,Minas Gerais,Others,Others,29
2020-03-01,Mar 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.33,10
2020-03-01,Mar 2020,Southeast,Rio de Janeiro,FIOCRUZ,Others,6
2020-03-01,Mar 2020,Southeast,Rio de Janeiro,Others,B.1.1.33,14
2020-03-01,Mar 2020,Southeast,Rio de Janeiro,Others,Others,18
2020-03-01,Mar 2020,Southeast,São Paulo,Others,B.1.1,20
2020-03-01,Mar 2020,Southeast,São Paulo,Others,B.1.1.28,148
2020-03-01,Mar 2020,Southeast,São Paulo,Others,B.1.1.33,61
2020-03-01,Mar 2020,Southeast,São Paulo,Others,Others,32
2020-03-01,Mar 2020,Southeast,São Paulo,Others,P.2,2
2020-03-01,Mar 2020,South,Paraná,FIOCRUZ,B.1.1.28,2
2020-03-01,Mar 2020,South,Paraná,FIOCRUZ,B.1.1.33,8
2020-03-01,Mar 2020,South,Paraná,FIOCRUZ,Others,5
2020-03-01,Mar 2020,South,Paraná,Others,B.1.1,1
2020-03-01,Mar 2020,South,Paraná,Others,B.1.1.28,6
2020-03-01,Mar 2020,South,Paraná,Others,B.1.1.33,2
2020-03-01,Mar 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1,2
2020-03-01,Mar 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.28,4
2020-03-01,Mar 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-03-01,Mar 2020,South,Rio Grande do Sul,FIOCRUZ,Others,2
2020-03-01,Mar 2020,South,Rio Grande do Sul,Others,B.1.1,3
2020-03-01,Mar 2020,South,Rio Grande do Sul,Others,B.1.1.28,5
2020-03-01,Mar 2020,South,Rio Grande do Sul,Others,B.1.1.33,8
2020-03-01,Mar 2020,South,Rio Grande do Sul,Others,Others,10
2020-03-01,Mar 2020,South,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-03-01,Mar 2020,South,Santa Catarina,FIOCRUZ,Others,3
2020-03-01,Mar 2020,South,Santa Catarina,Others,B.1.1,1
2020-03-01,Mar 2020,South,Santa Catarina,Others,B.1.1.28,3
2020-03-01,Mar 2020,South,Santa Catarina,Others,B.1.1.33,5
2020-03-01,Mar 2020,South,Santa Catarina,Others,Others,3
2020-04-01,Apr 2020,Central-west,Distrito Federal,Others,B.1.1.28,1
2020-04-01,Apr 2020,Central-west,Distrito Federal,Others,B.1.1.33,1
2020-04-01,Apr 2020,Central-west,Goiás,Others,B.1.1.33,4
2020-04-01,Apr 2020,Central-west,Goiás,Others,Others,3
2020-04-01,Apr 2020,Central-west,Mato Grosso,Others,B.1.1.28,1
2020-04-01,Apr 2020,Central-west,Mato Grosso,Others,B.1.1.33,2
2020-04-01,Apr 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.28,1
2020-04-01,Apr 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.33,4
2020-04-01,Apr 2020,Central-west,Mato Grosso do Sul,Others,Others,2
2020-04-01,Apr 2020,Northeast,Alagoas,FIOCRUZ,B.1.1.28,2
2020-04-01,Apr 2020,Northeast,Alagoas,FIOCRUZ,B.1.1.33,1
2020-04-01,Apr 2020,Northeast,Bahia,FIOCRUZ,B.1.1.28,7
2020-04-01,Apr 2020,Northeast,Bahia,FIOCRUZ,B.1.1.33,6
2020-04-01,Apr 2020,Northeast,Bahia,FIOCRUZ,Others,6
2020-04-01,Apr 2020,Northeast,Bahia,Others,B.1.1,1
2020-04-01,Apr 2020,Northeast,Bahia,Others,B.1.1.28,9
2020-04-01,Apr 2020,Northeast,Bahia,Others,B.1.1.33,31
2020-04-01,Apr 2020,Northeast,Bahia,Others,Others,5
2020-04-01,Apr 2020,Northeast,Ceará,FIOCRUZ,B.1.1.33,8
2020-04-01,Apr 2020,Northeast,Ceará,Others,B.1.1.28,1
2020-04-01,Apr 2020,Northeast,Ceará,Others,B.1.1.33,1
2020-04-01,Apr 2020,Northeast,Ceará,Others,Others,5
2020-04-01,Apr 2020,Northeast,Maranhão,Others,B.1.1.33,17
2020-04-01,Apr 2020,Northeast,Paraíba,FIOCRUZ,B.1.1,17
2020-04-01,Apr 2020,Northeast,Paraíba,FIOCRUZ,B.1.1.33,7
2020-04-01,Apr 2020,Northeast,Paraíba,Others,B.1.1,2
2020-04-01,Apr 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1,54
2020-04-01,Apr 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.28,3
2020-04-01,Apr 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.33,1
2020-04-01,Apr 2020,Northeast,Pernambuco,FIOCRUZ,Others,3
2020-04-01,Apr 2020,Northeast,Pernambuco,Others,B.1.1,8
2020-04-01,Apr 2020,Northeast,Pernambuco,Others,B.1.1.28,2
2020-04-01,Apr 2020,Northeast,Pernambuco,Others,B.1.1.33,1
2020-04-01,Apr 2020,Northeast,Rio Grande do Norte,Others,B.1.1.33,1
2020-04-01,Apr 2020,Northeast,Rio Grande do Norte,Others,Others,11
2020-04-01,Apr 2020,Northeast,Sergipe,FIOCRUZ,B.1.1,3
2020-04-01,Apr 2020,Northeast,Sergipe,FIOCRUZ,B.1.1.28,1
2020-04-01,Apr 2020,Northeast,Sergipe,FIOCRUZ,B.1.1.33,6
2020-04-01,Apr 2020,Northeast,Sergipe,FIOCRUZ,Others,12
2020-04-01,Apr 2020,North,Acre,FIOCRUZ,B.1.1.33,45
2020-04-01,Apr 2020,North,Acre,FIOCRUZ,Others,1
2020-04-01,Apr 2020,North,Amapá,Others,B.1.1.33,10
2020-04-01,Apr 2020,North,Amazonas,FIOCRUZ,B.1.1.28,2
2020-04-01,Apr 2020,North,Amazonas,FIOCRUZ,B.1.1.33,1
2020-04-01,Apr 2020,North,Amazonas,FIOCRUZ,Others,31
2020-04-01,Apr 2020,North,Amazonas,Others,B.1.1.33,2
2020-04-01,Apr 2020,North,Amazonas,Others,Others,3
2020-04-01,Apr 2020,North,Pará,Others,B.1.1.28,29
2020-04-01,Apr 2020,North,Pará,Others,B.1.1.33,6
2020-04-01,Apr 2020,North,Pará,Others,Others,2
2020-04-01,Apr 2020,North,Roraima,Others,B.1.1.33,1
2020-04-01,Apr 2020,North,Roraima,Others,Others,1
2020-04-01,Apr 2020,Southeast,Espírito Santo,Others,B.1.1.33,2
2020-04-01,Apr 2020,Southeast,Minas Gerais,Others,B.1.1.28,5
2020-04-01,Apr 2020,Southeast,Minas Gerais,Others,B.1.1.33,20
2020-04-01,Apr 2020,Southeast,Minas Gerais,Others,Others,5
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1,1
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.28,8
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.33,91
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,FIOCRUZ,Others,4
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,Others,B.1.1,1
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,Others,B.1.1.28,9
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,Others,B.1.1.33,196
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,Others,Others,10
2020-04-01,Apr 2020,Southeast,Rio de Janeiro,Others,P.1.* (Gamma),1
2020-04-01,Apr 2020,Southeast,São Paulo,Others,B.1.1,20
2020-04-01,Apr 2020,Southeast,São Paulo,Others,B.1.1.28,374
2020-04-01,Apr 2020,Southeast,São Paulo,Others,B.1.1.33,125
2020-04-01,Apr 2020,Southeast,São Paulo,Others,Others,36
2020-04-01,Apr 2020,Southeast,São Paulo,Others,P.1.* (Gamma),1
2020-04-01,Apr 2020,Southeast,São Paulo,Others,P.2,1
2020-04-01,Apr 2020,South,Paraná,FIOCRUZ,B.1.1,1
2020-04-01,Apr 2020,South,Paraná,FIOCRUZ,B.1.1.28,10
2020-04-01,Apr 2020,South,Paraná,FIOCRUZ,B.1.1.33,2
2020-04-01,Apr 2020,South,Paraná,FIOCRUZ,Others,2
2020-04-01,Apr 2020,South,Paraná,Others,B.1.1,1
2020-04-01,Apr 2020,South,Paraná,Others,B.1.1.28,5
2020-04-01,Apr 2020,South,Paraná,Others,B.1.1.33,3
2020-04-01,Apr 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1,1
2020-04-01,Apr 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.33,4
2020-04-01,Apr 2020,South,Rio Grande do Sul,Others,B.1.1,3
2020-04-01,Apr 2020,South,Rio Grande do Sul,Others,B.1.1.28,5
2020-04-01,Apr 2020,South,Rio Grande do Sul,Others,B.1.1.33,32
2020-04-01,Apr 2020,South,Rio Grande do Sul,Others,Others,4
2020-04-01,Apr 2020,South,Santa Catarina,FIOCRUZ,B.1.1.28,1
2020-04-01,Apr 2020,South,Santa Catarina,Others,B.1.1.28,1
2020-04-01,Apr 2020,South,Santa Catarina,Others,B.1.1.33,2
2020-05-01,May 2020,Central-west,Distrito Federal,Others,B.1.1.33,2
2020-05-01,May 2020,Central-west,Distrito Federal,Others,Others,1
2020-05-01,May 2020,Central-west,Goiás,FIOCRUZ,B.1.1.33,1
2020-05-01,May 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.28,4
2020-05-01,May 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.33,3
2020-05-01,May 2020,Northeast,Alagoas,FIOCRUZ,B.1.1.28,1
2020-05-01,May 2020,Northeast,Alagoas,FIOCRUZ,B.1.1.33,3
2020-05-01,May 2020,Northeast,Bahia,FIOCRUZ,B.1.1.28,1
2020-05-01,May 2020,Northeast,Bahia,FIOCRUZ,B.1.1.33,1
2020-05-01,May 2020,Northeast,Bahia,Others,B.1.1,3
2020-05-01,May 2020,Northeast,Bahia,Others,B.1.1.28,14
2020-05-01,May 2020,Northeast,Bahia,Others,B.1.1.33,11
2020-05-01,May 2020,Northeast,Bahia,Others,Others,4
2020-05-01,May 2020,Northeast,Ceará,FIOCRUZ,B.1.1.33,2
2020-05-01,May 2020,Northeast,Ceará,FIOCRUZ,Others,7
2020-05-01,May 2020,Northeast,Ceará,Others,Others,1
2020-05-01,May 2020,Northeast,Maranhão,Others,B.1.1.33,4
2020-05-01,May 2020,Northeast,Paraíba,FIOCRUZ,B.1.1,3
2020-05-01,May 2020,Northeast,Paraíba,FIOCRUZ,B.1.1.33,2
2020-05-01,May 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1,30
2020-05-01,May 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.28,2
2020-05-01,May 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.33,4
2020-05-01,May 2020,Northeast,Pernambuco,FIOCRUZ,Others,1
2020-05-01,May 2020,Northeast,Rio Grande do Norte,Others,B.1.1.33,1
2020-05-01,May 2020,Northeast,Rio Grande do Norte,Others,Others,4
2020-05-01,May 2020,North,Acre,FIOCRUZ,B.1.1.33,1
2020-05-01,May 2020,North,Acre,Others,B.1.1.33,2
2020-05-01,May 2020,North,Amapá,Others,B.1.1.33,8
2020-05-01,May 2020,North,Amazonas,FIOCRUZ,B.1.1.28,9
2020-05-01,May 2020,North,Amazonas,FIOCRUZ,B.1.1.33,6
2020-05-01,May 2020,North,Amazonas,FIOCRUZ,Others,11
2020-05-01,May 2020,North,Amazonas,Others,B.1.1.28,1
2020-05-01,May 2020,North,Amazonas,Others,Others,2
2020-05-01,May 2020,North,Pará,Others,B.1.1,3
2020-05-01,May 2020,North,Pará,Others,B.1.1.28,6
2020-05-01,May 2020,North,Pará,Others,B.1.1.33,2
2020-05-01,May 2020,North,Pará,Others,Others,1
2020-05-01,May 2020,North,Pará,Others,P.1.* (Gamma),2
2020-05-01,May 2020,North,Pará,Others,P.2,1
2020-05-01,May 2020,North,Rondônia,Others,B.1.1.33,5
2020-05-01,May 2020,North,Rondônia,Others,Others,2
2020-05-01,May 2020,North,Roraima,Others,B.1.1.33,1
2020-05-01,May 2020,Southeast,Espírito Santo,FIOCRUZ,B.1.1.33,3
2020-05-01,May 2020,Southeast,Espírito Santo,Others,B.1.1.33,2
2020-05-01,May 2020,Southeast,Minas Gerais,Others,B.1.1.28,4
2020-05-01,May 2020,Southeast,Minas Gerais,Others,B.1.1.33,3
2020-05-01,May 2020,Southeast,Minas Gerais,Others,Others,1
2020-05-01,May 2020,Southeast,Minas Gerais,Others,P.2,1
2020-05-01,May 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.33,16
2020-05-01,May 2020,Southeast,Rio de Janeiro,FIOCRUZ,Others,2
2020-05-01,May 2020,Southeast,Rio de Janeiro,Others,B.1.1,1
2020-05-01,May 2020,Southeast,Rio de Janeiro,Others,B.1.1.28,2
2020-05-01,May 2020,Southeast,Rio de Janeiro,Others,B.1.1.33,68
2020-05-01,May 2020,Southeast,Rio de Janeiro,Others,Others,3
2020-05-01,May 2020,Southeast,São Paulo,Others,B.1.1,9
2020-05-01,May 2020,Southeast,São Paulo,Others,B.1.1.28,212
2020-05-01,May 2020,Southeast,São Paulo,Others,B.1.1.33,48
2020-05-01,May 2020,Southeast,São Paulo,Others,Others,27
2020-05-01,May 2020,Southeast,São Paulo,Others,P.2,2
2020-05-01,May 2020,South,Paraná,FIOCRUZ,B.1.1.28,3
2020-05-01,May 2020,South,Paraná,FIOCRUZ,B.1.1.33,11
2020-05-01,May 2020,South,Paraná,FIOCRUZ,Others,2
2020-05-01,May 2020,South,Paraná,Others,B.1.1.33,1
2020-05-01,May 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1,3
2020-05-01,May 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.28,1
2020-05-01,May 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.33,24
2020-05-01,May 2020,South,Rio Grande do Sul,FIOCRUZ,Others,3
2020-05-01,May 2020,South,Rio Grande do Sul,Others,B.1.1,2
2020-05-01,May 2020,South,Rio Grande do Sul,Others,B.1.1.28,6
2020-05-01,May 2020,South,Rio Grande do Sul,Others,B.1.1.33,36
2020-05-01,May 2020,South,Rio Grande do Sul,Others,Others,3
2020-05-01,May 2020,South,Santa Catarina,FIOCRUZ,B.1.1.33,2
2020-05-01,May 2020,South,Santa Catarina,FIOCRUZ,Others,1
2020-05-01,May 2020,South,Santa Catarina,Others,B.1.1.28,3
2020-06-01,Jun 2020,Central-west,Goiás,FIOCRUZ,B.1.1.33,9
2020-06-01,Jun 2020,Central-west,Goiás,Others,B.1.1.28,1
2020-06-01,Jun 2020,Central-west,Goiás,Others,B.1.1.33,2
2020-06-01,Jun 2020,Central-west,Mato Grosso,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,Central-west,Mato Grosso,Others,B.1.1.28,1
2020-06-01,Jun 2020,Central-west,Mato Grosso,Others,B.1.1.33,5
2020-06-01,Jun 2020,Central-west,Mato Grosso do Sul,Others,B.1.1,3
2020-06-01,Jun 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.28,3
2020-06-01,Jun 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.33,1
2020-06-01,Jun 2020,Northeast,Bahia,FIOCRUZ,B.1.1.28,2
2020-06-01,Jun 2020,Northeast,Bahia,Others,B.1.1.28,9
2020-06-01,Jun 2020,Northeast,Bahia,Others,B.1.1.33,7
2020-06-01,Jun 2020,Northeast,Bahia,Others,Others,1
2020-06-01,Jun 2020,Northeast,Ceará,FIOCRUZ,B.1.1.33,2
2020-06-01,Jun 2020,Northeast,Paraíba,FIOCRUZ,B.1.1,5
2020-06-01,Jun 2020,Northeast,Paraíba,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1,1
2020-06-01,Jun 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.28,2
2020-06-01,Jun 2020,Northeast,Pernambuco,Others,B.1.1,37
2020-06-01,Jun 2020,Northeast,Pernambuco,Others,B.1.1.28,3
2020-06-01,Jun 2020,Northeast,Pernambuco,Others,B.1.1.33,5
2020-06-01,Jun 2020,Northeast,Pernambuco,Others,Others,3
2020-06-01,Jun 2020,Northeast,Rio Grande do Norte,Others,B.1.1,1
2020-06-01,Jun 2020,Northeast,Rio Grande do Norte,Others,B.1.1.28,4
2020-06-01,Jun 2020,Northeast,Rio Grande do Norte,Others,Others,2
2020-06-01,Jun 2020,North,Acre,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,North,Acre,Others,B.1.1.33,2
2020-06-01,Jun 2020,North,Amazonas,FIOCRUZ,B.1.1.28,10
2020-06-01,Jun 2020,North,Amazonas,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,North,Amazonas,FIOCRUZ,Others,5
2020-06-01,Jun 2020,North,Amazonas,Others,B.1.1.33,3
2020-06-01,Jun 2020,North,Pará,Others,B.1.1.28,4
2020-06-01,Jun 2020,North,Pará,Others,B.1.1.33,4
2020-06-01,Jun 2020,North,Rondônia,Others,B.1.1.33,1
2020-06-01,Jun 2020,North,Roraima,Others,B.1.1.33,2
2020-06-01,Jun 2020,Southeast,Minas Gerais,Others,B.1.1.28,8
2020-06-01,Jun 2020,Southeast,Minas Gerais,Others,B.1.1.33,8
2020-06-01,Jun 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.33,24
2020-06-01,Jun 2020,Southeast,Rio de Janeiro,Others,B.1.1,2
2020-06-01,Jun 2020,Southeast,Rio de Janeiro,Others,B.1.1.28,5
2020-06-01,Jun 2020,Southeast,Rio de Janeiro,Others,B.1.1.33,48
2020-06-01,Jun 2020,Southeast,São Paulo,Others,B.1.1,18
2020-06-01,Jun 2020,Southeast,São Paulo,Others,B.1.1.28,291
2020-06-01,Jun 2020,Southeast,São Paulo,Others,B.1.1.33,203
2020-06-01,Jun 2020,Southeast,São Paulo,Others,Others,83
2020-06-01,Jun 2020,South,Paraná,FIOCRUZ,B.1.1,3
2020-06-01,Jun 2020,South,Paraná,FIOCRUZ,B.1.1.28,24
2020-06-01,Jun 2020,South,Paraná,FIOCRUZ,B.1.1.33,64
2020-06-01,Jun 2020,South,Paraná,FIOCRUZ,Others,2
2020-06-01,Jun 2020,South,Paraná,Others,B.1.1,2
2020-06-01,Jun 2020,South,Paraná,Others,B.1.1.28,5
2020-06-01,Jun 2020,South,Paraná,Others,B.1.1.33,13
2020-06-01,Jun 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.28,2
2020-06-01,Jun 2020,South,Rio Grande do Sul,FIOCRUZ,B.1.1.33,6
2020-06-01,Jun 2020,South,Rio Grande do Sul,FIOCRUZ,Others,3
2020-06-01,Jun 2020,South,Rio Grande do Sul,Others,B.1.1,8
2020-06-01,Jun 2020,South,Rio Grande do Sul,Others,B.1.1.28,24
2020-06-01,Jun 2020,South,Rio Grande do Sul,Others,B.1.1.33,114
2020-06-01,Jun 2020,South,Rio Grande do Sul,Others,Others,25
2020-06-01,Jun 2020,South,Santa Catarina,FIOCRUZ,B.1.1.28,1
2020-06-01,Jun 2020,South,Santa Catarina,FIOCRUZ,B.1.1.33,1
2020-06-01,Jun 2020,South,Santa Catarina,Others,B.1.1.28,15
2020-06-01,Jun 2020,South,Santa Catarina,Others,B.1.1.33,13
2020-07-01,Jul 2020,Central-west,Distrito Federal,Others,B.1.1.28,3
2020-07-01,Jul 2020,Central-west,Goiás,FIOCRUZ,B.1.1.33,2
2020-07-01,Jul 2020,Central-west,Goiás,Others,B.1.1.28,5
2020-07-01,Jul 2020,Central-west,Goiás,Others,B.1.1.33,2
2020-07-01,Jul 2020,Central-west,Mato Grosso,Others,B.1.1.33,1
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,Others,B.1.1,2
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.28,6
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,Others,B.1.1.33,9
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,Others,Others,1
2020-07-01,Jul 2020,Central-west,Mato Grosso do Sul,Others,P.2,1
2020-07-01,Jul 2020,Northeast,Bahia,FIOCRUZ,B.1.1,3
2020-07-01,Jul 2020,Northeast,Bahia,FIOCRUZ,B.1.1.28,47
2020-07-01,Jul 2020,Northeast,Bahia,FIOCRUZ,B.1.1.33,18
2020-07-01,Jul 2020,Northeast,Bahia,FIOCRUZ,Others,5
2020-07-01,Jul 2020,Northeast,Bahia,Others,B.1.1,2
2020-07-01,Jul 2020,Northeast,Bahia,Others,B.1.1.28,21
2020-07-01,Jul 2020,Northeast,Bahia,Others,B.1.1.33,13
2020-07-01,Jul 2020,Northeast,Bahia,Others,Others,8
2020-07-01,Jul 2020,Northeast,Ceará,Others,B.1.1,1
2020-07-01,Jul 2020,Northeast,Ceará,Others,B.1.1.28,1
2020-07-01,Jul 2020,Northeast,Ceará,Others,B.1.1.33,2
2020-07-01,Jul 2020,Northeast,Ceará,Others,Others,2
2020-07-01,Jul 2020,Northeast,Paraíba,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Northeast,Paraíba,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1,8
2020-07-01,Jul 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.28,4
2020-07-01,Jul 2020,Northeast,Pernambuco,FIOCRUZ,B.1.1.33,4
2020-07-01,Jul 2020,Northeast,Pernambuco,Others,B.1.1,24
2020-07-01,Jul 2020,Northeast,Pernambuco,Others,B.1.1.28,5
2020-07-01,Jul 2020,Northeast,Pernambuco,Others,B.1.1.33,6
2020-07-01,Jul 2020,Northeast,Pernambuco,Others,Others,1
2020-07-01,Jul 2020,Northeast,Pernambuco,Others,P.2,1
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,FIOCRUZ,B.1.1,7
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,FIOCRUZ,B.1.1.28,3
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,FIOCRUZ,B.1.1.33,2
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,Others,B.1.1,2
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,Others,B.1.1.28,3
2020-07-01,Jul 2020,Northeast,Rio Grande do Norte,Others,B.1.1.33,2
2020-07-01,Jul 2020,Northeast,Sergipe,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,Northeast,Sergipe,FIOCRUZ,Others,1
2020-07-01,Jul 2020,North,Acre,FIOCRUZ,B.1.1.28,2
2020-07-01,Jul 2020,North,Acre,FIOCRUZ,B.1.1.33,50
2020-07-01,Jul 2020,North,Acre,FIOCRUZ,Others,2
2020-07-01,Jul 2020,North,Amazonas,FIOCRUZ,B.1.1,1
2020-07-01,Jul 2020,North,Amazonas,FIOCRUZ,B.1.1.28,6
2020-07-01,Jul 2020,North,Amazonas,FIOCRUZ,B.1.1.33,5
2020-07-01,Jul 2020,North,Amazonas,FIOCRUZ,Others,4
2020-07-01,Jul 2020,North,Pará,Others,B.1.1.28,3
2020-07-01,Jul 2020,North,Pará,Others,B.1.1.33,3
2020-07-01,Jul 2020,North,Pará,Others,Others,1
2020-07-01,Jul 2020,Southeast,Espírito Santo,Others,B.1.1.28,1
2020-07-01,Jul 2020,Southeast,Espírito Santo,Others,B.1.1.33,1
2020-07-01,Jul 2020,Southeast,Minas Gerais,FIOCRUZ,B.1.1.33,1
2020-07-01,Jul 2020,Southeast,Minas Gerais,Others,B.1.1.28,13
2020-07-01,Jul 2020,Southeast,Minas Gerais,Others,B.1.1.33,9
2020-07-01,Jul 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1,2
2020-07-01,Jul 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.28,8
2020-07-01,Jul 2020,Southeast,Rio de Janeiro,FIOCRUZ,B.1.1.33,48
2020-07-01,Jul 2020,Southeast,Rio de Janeiro,Others,B.1.1,1
2020-07-01,Jul 2020,Southeast,Rio de Janeiro,Others,B.1.1.28,3
