Fecha,Período,Región,Estado,Variantes relevantes,Cantidad
2023-01-01,Ene 2023,Centro-oeste,Distrito Federal,Otras,4
2023-01-01,Ene 2023,Centro-oeste,Goiás,Otras,107
2023-01-01,Ene 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),8
2023-01-01,Ene 2023,Centro-oeste,Mato Grosso,Otras,13
2023-01-01,Ene 2023,Centro-oeste,Mato Grosso do Sul,Otras,86
2023-01-01,Ene 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),2
2023-01-01,Ene 2023,Noreste,Alagoas,Otras,34
2023-01-01,Ene 2023,Noreste,Bahia,Otras,50
2023-01-01,Ene 2023,Noreste,Bahia,XBB.1.5.* (Omicron),1
2023-01-01,Ene 2023,Noreste,Ceará,Otras,41
2023-01-01,Ene 2023,Noreste,Ceará,XBB.1.5.70.*+GK.* (Omicron),1
2023-01-01,Ene 2023,Noreste,Maranhão,Otras,8
2023-01-01,Ene 2023,Noreste,Maranhão,XBB.1.5.* (Omicron),2
2023-01-01,Ene 2023,Noreste,Paraíba,Otras,5
2023-01-01,Ene 2023,Noreste,Pernambuco,Otras,23
2023-01-01,Ene 2023,Noreste,Rio Grande do Norte,Otras,4
2023-01-01,Ene 2023,Norte,Acre,Otras,1
2023-01-01,Ene 2023,Norte,Amapá,Otras,31
2023-01-01,Ene 2023,Norte,Amazonas,Otras,84
2023-01-01,Ene 2023,Norte,Amazonas,XBB.1.5.* (Omicron),16
2023-01-01,Ene 2023,Norte,Pará,Otras,21
2023-01-01,Ene 2023,Norte,Pará,XBB.1.5.* (Omicron),3
2023-01-01,Ene 2023,Norte,Rondônia,Otras,17
2023-01-01,Ene 2023,Norte,Tocantins,Otras,99
2023-01-01,Ene 2023,Norte,Tocantins,XBB.1.5.* (Omicron),3
2023-01-01,Ene 2023,Sureste,Espírito Santo,Otras,113
2023-01-01,Ene 2023,Sureste,Espírito Santo,XBB.1.5.* (Omicron),2
2023-01-01,Ene 2023,Sureste,Minas Gerais,Otras,224
2023-01-01,Ene 2023,Sureste,Minas Gerais,XBB.1.5.* (Omicron),3
2023-01-01,Ene 2023,Sureste,Rio de Eneeiro,Otras,105
2023-01-01,Ene 2023,Sureste,Rio de Eneeiro,XBB.1.5.* (Omicron),10
2023-01-01,Ene 2023,Sureste,São Paulo,FE.1.* (Omicron),8
2023-01-01,Ene 2023,Sureste,São Paulo,Otras,607
2023-01-01,Ene 2023,Sureste,São Paulo,XBB.1.5.* (Omicron),46
2023-01-01,Ene 2023,Sur,Paraná,Otras,8
2023-01-01,Ene 2023,Sur,Paraná,XBB.1.5.* (Omicron),1
2023-01-01,Ene 2023,Sur,Rio Grande do Sul,FE.1.* (Omicron),1
2023-01-01,Ene 2023,Sur,Rio Grande do Sul,Otras,251
2023-01-01,Ene 2023,Sur,Rio Grande do Sul,XBB.1.5.* (Omicron),1
2023-01-01,Ene 2023,Sur,Santa Catarina,Otras,177
2023-01-01,Ene 2023,Sur,Santa Catarina,XBB.1.5.* (Omicron),17
2023-02-01,Feb 2023,Centro-oeste,Distrito Federal,Otras,23
2023-02-01,Feb 2023,Centro-oeste,Distrito Federal,XBB.1.5.* (Omicron),7
2023-02-01,Feb 2023,Centro-oeste,Goiás,Otras,43
2023-02-01,Feb 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),25
2023-02-01,Feb 2023,Centro-oeste,Mato Grosso,Otras,3
2023-02-01,Feb 2023,Centro-oeste,Mato Grosso,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Centro-oeste,Mato Grosso do Sul,FE.1.* (Omicron),3
2023-02-01,Feb 2023,Centro-oeste,Mato Grosso do Sul,Otras,56
2023-02-01,Feb 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),7
2023-02-01,Feb 2023,Noreste,Alagoas,Otras,7
2023-02-01,Feb 2023,Noreste,Alagoas,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Noreste,Bahia,FE.1.* (Omicron),10
2023-02-01,Feb 2023,Noreste,Bahia,Otras,17
2023-02-01,Feb 2023,Noreste,Bahia,XBB.1.5.* (Omicron),23
2023-02-01,Feb 2023,Noreste,Ceará,Otras,32
2023-02-01,Feb 2023,Noreste,Ceará,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Noreste,Maranhão,Otras,9
2023-02-01,Feb 2023,Noreste,Maranhão,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,Noreste,Paraíba,Otras,1
2023-02-01,Feb 2023,Noreste,Paraíba,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,Noreste,Pernambuco,Otras,8
2023-02-01,Feb 2023,Noreste,Pernambuco,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Noreste,Rio Grande do Norte,Otras,7
2023-02-01,Feb 2023,Noreste,Rio Grande do Norte,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Noreste,Sergipe,FE.1.* (Omicron),1
2023-02-01,Feb 2023,Noreste,Sergipe,Otras,2
2023-02-01,Feb 2023,Noreste,Sergipe,XBB.1.5.* (Omicron),3
2023-02-01,Feb 2023,Norte,Acre,Otras,3
2023-02-01,Feb 2023,Norte,Acre,XBB.1.5.* (Omicron),1
2023-02-01,Feb 2023,Norte,Amapá,Otras,12
2023-02-01,Feb 2023,Norte,Amapá,XBB.1.5.* (Omicron),2
2023-02-01,Feb 2023,Norte,Amazonas,Otras,1023
2023-02-01,Feb 2023,Norte,Amazonas,XBB.1.5.* (Omicron),453
2023-02-01,Feb 2023,Norte,Pará,Otras,34
2023-02-01,Feb 2023,Norte,Pará,XBB.1.5.* (Omicron),10
2023-02-01,Feb 2023,Norte,Rondônia,Otras,10
2023-02-01,Feb 2023,Norte,Tocantins,FE.1.* (Omicron),2
2023-02-01,Feb 2023,Norte,Tocantins,Otras,44
2023-02-01,Feb 2023,Norte,Tocantins,XBB.1.5.* (Omicron),2
2023-02-01,Feb 2023,Sureste,Espírito Santo,Otras,17
2023-02-01,Feb 2023,Sureste,Espírito Santo,XBB.1.5.* (Omicron),10
2023-02-01,Feb 2023,Sureste,Minas Gerais,FE.1.* (Omicron),1
2023-02-01,Feb 2023,Sureste,Minas Gerais,Otras,47
2023-02-01,Feb 2023,Sureste,Minas Gerais,XBB.1.5.* (Omicron),11
2023-02-01,Feb 2023,Sureste,Rio de Eneeiro,FE.1.* (Omicron),2
2023-02-01,Feb 2023,Sureste,Rio de Eneeiro,Otras,39
2023-02-01,Feb 2023,Sureste,Rio de Eneeiro,XBB.1.5.* (Omicron),70
2023-02-01,Feb 2023,Sureste,São Paulo,FE.1.* (Omicron),46
2023-02-01,Feb 2023,Sureste,São Paulo,JD.1.* (Omicron),1
2023-02-01,Feb 2023,Sureste,São Paulo,Otras,197
2023-02-01,Feb 2023,Sureste,São Paulo,XBB.1.5.* (Omicron),182
2023-02-01,Feb 2023,Sur,Paraná,FE.1.* (Omicron),2
2023-02-01,Feb 2023,Sur,Paraná,Otras,16
2023-02-01,Feb 2023,Sur,Paraná,XBB.1.5.* (Omicron),9
2023-02-01,Feb 2023,Sur,Rio Grande do Sul,Otras,20
2023-02-01,Feb 2023,Sur,Rio Grande do Sul,XBB.1.5.* (Omicron),5
2023-02-01,Feb 2023,Sur,Santa Catarina,FE.1.* (Omicron),5
2023-02-01,Feb 2023,Sur,Santa Catarina,Otras,35
2023-02-01,Feb 2023,Sur,Santa Catarina,XBB.1.5.* (Omicron),40
2023-03-01,Mar 2023,Centro-oeste,Goiás,FE.1.* (Omicron),1
2023-03-01,Mar 2023,Centro-oeste,Goiás,Otras,63
2023-03-01,Mar 2023,Centro-oeste,Goiás,XBB.1.5.* (Omicron),44
2023-03-01,Mar 2023,Centro-oeste,Goiás,XBB.1.5.70.*+GK.* (Omicron),2
2023-03-01,Mar 2023,Centro-oeste,Mato Grosso,Otras,12
2023-03-01,Mar 2023,Centro-oeste,Mato Grosso,XBB.1.5.* (Omicron),3
2023-03-01,Mar 2023,Centro-oeste,Mato Grosso do Sul,FE.1.* (Omicron),8
2023-03-01,Mar 2023,Centro-oeste,Mato Grosso do Sul,Otras,60
2023-03-01,Mar 2023,Centro-oeste,Mato Grosso do Sul,XBB.1.5.* (Omicron),26
