,Data,Laboratório,Período,Quantidade,Acumulado
0,2020-02-01,FIOCRUZ,Fev 2020,3,3
1,2020-02-01,Outros,Fev 2020,5,5
2,2020-03-01,FIOCRUZ,Mar 2020,66,69
3,2020-03-01,Outros,Mar 2020,494,499
4,2020-04-01,FIOCRUZ,Abr 2020,271,340
5,2020-04-01,Outros,Abr 2020,851,1350
6,2020-05-01,FIOCRUZ,Mai 2020,148,488
7,2020-05-01,Outros,Mai 2020,279,1629
8,2020-06-01,FIOCRUZ,Jun 2020,151,639
9,2020-06-01,Outros,Jun 2020,307,1936
10,2020-07-01,FIOCRUZ,Jul 2020,130,769
11,2020-07-01,Outros,Jul 2020,329,2265
12,2020-08-01,FIOCRUZ,Ago 2020,173,942
13,2020-08-01,Outros,Ago 2020,268,2533
14,2020-09-01,FIOCRUZ,Set 2020,283,1225
15,2020-09-01,Outros,Set 2020,154,2687
16,2020-10-01,FIOCRUZ,Out 2020,205,1430
17,2020-10-01,Outros,Out 2020,267,2954
18,2020-11-01,FIOCRUZ,Nov 2020,276,1706
19,2020-11-01,Outros,Nov 2020,511,3465
20,2020-12-01,FIOCRUZ,Dez 2020,385,2091
21,2020-12-01,Outros,Dez 2020,704,4169
22,2021-01-01,FIOCRUZ,Jan 2021,711,2802
23,2021-01-01,Outros,Jan 2021,1237,5406
24,2021-02-01,FIOCRUZ,Fev 2021,1250,4052
25,2021-02-01,Outros,Fev 2021,1543,6949
26,2021-03-01,FIOCRUZ,Mar 2021,1367,5419
27,2021-03-01,Outros,Mar 2021,3722,10671
28,2021-04-01,FIOCRUZ,Abr 2021,1331,6750
29,2021-04-01,Outros,Abr 2021,6445,17116
30,2021-05-01,FIOCRUZ,Mai 2021,1933,8683
31,2021-05-01,Outros,Mai 2021,5926,23042
32,2021-06-01,FIOCRUZ,Jun 2021,2229,10912
33,2021-06-01,Outros,Jun 2021,8670,31712
34,2021-07-01,FIOCRUZ,Jul 2021,2650,13562
35,2021-07-01,Outros,Jul 2021,8021,39733
36,2021-08-01,FIOCRUZ,Ago 2021,2834,16396
37,2021-08-01,Outros,Ago 2021,7775,47508
38,2021-09-01,FIOCRUZ,Set 2021,2859,19255
39,2021-09-01,Outros,Set 2021,8115,55623
40,2021-10-01,FIOCRUZ,Out 2021,1440,20695
41,2021-10-01,Outros,Out 2021,5571,61194
42,2021-11-01,FIOCRUZ,Nov 2021,152,20847
43,2021-11-01,Outros,Nov 2021,2791,63985
44,2021-12-01,FIOCRUZ,Dez 2021,1,20848
45,2021-12-01,Outros,Dez 2021,9,63994
